timestamp,node_id,counter,soil_pct,raw_data,payload_bytes,rssi,snr,rtt_cloud_ms,decision_latency_ms,jitter_ms,missing_packets,cpu_percent,ram_percent,node_batt_pct,node_current_ma,gateway_batt_pct,gateway_current_ma
2026-04-14T18:09:44.506145,node1,15312,91,"NODE1,15312,391,91",18,-41,13.5,,15.0,0,0,3.8,17.2,0,0,91,0.0
2026-04-14T18:09:52.231087,node1,15313,92,"NODE1,15313,390,92",18,-41,13.5,,15.0,0,0,0.7,17.2,0,0,91,0.0
2026-04-14T18:09:55.860016,node2,10385,94,"NODE2,10385,379,94",18,-47,13.0,,15.0,0,0,3.0,17.2,0,0,91,0.0
2026-04-14T18:09:59.979052,node1,15314,91,"NODE1,15314,393,91",18,-40,13.5,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:10:09.654152,node1,15315,91,"NODE1,15315,392,91",18,-41,13.5,,15.0,0,0,1.7,17.2,0,0,91,0.0
2026-04-14T18:10:09.989880,node2,10386,94,"NODE2,10386,380,94",18,-47,13.25,,15.0,0,0,0.8,17.2,0,0,91,0.0
2026-04-14T18:10:18.366838,node1,15316,92,"NODE1,15316,390,92",18,-41,13.0,,15.0,0,0,1.9,17.2,0,0,91,0.0
2026-04-14T18:10:21.889437,node2,10387,95,"NODE2,10387,374,95",18,-47,13.25,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:10:28.042051,node1,15317,92,"NODE1,15317,390,92",18,-41,13.25,,15.0,0,0,2.4,17.2,0,0,91,0.0
2026-04-14T18:10:35.983296,node2,10388,95,"NODE2,10388,372,95",18,-47,13.0,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:10:37.717523,node1,15318,92,"NODE1,15318,389,92",18,-41,13.25,,15.0,0,0,0.0,17.2,0,0,91,0.0
2026-04-14T18:10:46.430636,node1,15319,92,"NODE1,15319,390,92",18,-41,13.25,,15.0,0,0,1.1,17.2,0,0,91,0.0
2026-04-14T18:10:48.995923,node2,10389,95,"NODE2,10389,375,95",18,-48,13.25,,15.0,0,0,2.5,17.2,0,0,91,0.0
2026-04-14T18:10:56.106946,node1,15320,91,"NODE1,15320,391,91",18,-40,13.25,,15.0,0,0,0.3,17.2,0,0,91,0.0
