timestamp,node_id,soil_pct,payload_bytes,rtt_cloud_ms,jitter_ms,cpu_percent,ram_percent
1772113017.114607,node2,100,51,134.2516,0.056,0.0,3.7
1772113025.2757883,node1,100,51,134.2878,0.0892,0.0,3.7
1772113028.3275623,node2,100,51,134.2597,0.0081,0.0,3.7
1772113034.7076507,node1,100,51,134.2969,0.0091,0.0,3.7
1772113041.8608725,node2,100,51,134.1262,0.1335,0.0,3.7
1772113044.4655306,node1,100,51,134.2728,0.0241,0.1,3.7
1772113052.770718,node1,100,51,134.1076,0.1652,0.0,3.7
1772113053.7783222,node2,100,51,134.7027,0.5765,0.0,3.7
1772113063.399717,node1,100,51,134.0706,0.037,0.0,3.7
1772113066.8864524,node2,100,51,134.2783,0.4244,0.0,3.7
1772113072.9711373,node1,100,51,135.581,1.5104,0.0,3.7
1772113079.6301806,node2,100,51,134.2151,0.0632,0.0,3.7
1772113083.5428727,node1,100,51,134.2347,1.3463,0.1,3.7
1772113090.9268723,node2,100,51,136.4055,2.1904,0.0,3.7
1772113093.4287357,node1,100,51,136.5838,2.3491,0.0,3.7
1772113101.6399126,node1,100,51,136.219,0.3648,0.0,3.7
1772113102.0689805,node2,100,51,136.4996,0.0942,0.0,3.7
1772113110.4971888,node1,100,51,136.2488,0.0298,0.0,3.7
1772113114.7005124,node2,100,51,136.2228,0.2768,0.0,3.7
1772113119.9753287,node1,100,51,183.2612,47.0123,0.0,3.8
1772113127.857545,node2,100,51,136.6162,0.3934,0.0,3.7
1772113129.9242876,node1,100,51,136.059,47.2021,0.0,3.7
1772113139.0227036,node1,100,51,136.2853,0.2263,0.0,3.7
1772113140.676504,node2,100,51,136.7736,0.1574,0.0,3.7
1772113149.028397,node1,100,51,136.3642,0.0789,0.0,3.7
1772113154.0717795,node2,100,51,136.5082,0.2654,0.0,3.7
1772113157.6439695,node1,100,51,136.1363,0.2279,0.0,3.7
1772113165.1244495,node2,100,51,136.4653,0.0429,0.0,3.7
1772113165.6665957,node1,100,51,136.7588,0.6225,0.0,3.7
1772113174.4335096,node1,100,51,136.4055,0.3533,0.0,3.7
1772113178.6610494,node2,100,51,138.293,1.8277,0.1,3.7
1772113184.4296472,node1,100,51,136.7013,0.2959,0.0,3.7
1772113192.5566952,node2,100,51,136.241,2.0521,0.0,3.7
1772113193.373885,node1,100,51,136.3015,0.3998,0.0,3.7
1772113204.0241551,node1,100,51,136.4105,0.109,0.0,3.7
1772113205.2663414,node2,100,51,136.1971,0.0439,0.0,3.7
1772113213.7687619,node1,100,51,136.1959,0.2146,0.0,3.7
1772113217.5160904,node2,100,51,135.2613,0.9358,0.0,3.7
1772113224.07296,node1,100,51,138.6499,2.454,0.0,3.7
1772113230.1067042,node2,100,51,134.1865,1.0748,0.0,3.7
1772113232.4594524,node1,100,51,136.2288,2.4211,0.0,3.7
1772113240.7060437,node1,100,51,136.2917,0.0629,0.0,3.7
1772113242.6977942,node2,100,51,136.5218,2.3353,0.0,3.7
1772113249.966748,node1,100,51,136.291,0.0007,0.0,3.7
1772113253.9684157,node2,100,51,136.2426,0.2792,0.1,3.7
